thread_id,topic
686813805.0,"(0.16898956399095352, 0.029981381422936028, 0.18778142110670215, 0.2607994680832414, 0.24360641659942878, 0.10884174879673805)"
726624269.0,"(0.2322326619959942, 0.044607274191338496, 0.13422509729587406, 0.05039567732924839, 0.332930176233155, 0.2056091129543898)"
730503557.0,"(0.18630630209299476, 0.15930861700179608, 0.009048310819899416, 0.01198283571847714, 0.34603146154854175, 0.28732247281829076)"
900874849.0,"(0.2315189573528051, 0.0013847677808659577, 0.1350336733967502, 0.23935715521409634, 0.1093936861625563, 0.283311760092926)"
915776119.0,"(0.06874931519761564, 0.1333018552918629, 0.006722115507711727, 0.5876185161034794, 0.1612263543253205, 0.04238184357400989)"
923041375.0,"(0.281052167261216, 0.08767921800321728, 0.05341866508071024, 0.026841984313906577, 0.16678876132901463, 0.3842192040119352)"
1233548444.0,"(0.20981591489266888, 0.00290429451845226, 0.03851119081787485, 0.3273727182421315, 0.15621067844290568, 0.26518520308596694)"
1239982836.0,"(0.5695579439297189, 0.00038485364639194897, 0.162445211141636, 0.000354647658889073, 0.20489604158108699, 0.06236130204227708)"
1526385905.0,"(0.14733216552216066, 0.04017410572248606, 0.06365876381927478, 0.12742774974321994, 0.2642502027113034, 0.3571570124815551)"
1538466297.0,"(0.18851802053384778, 0.16645897009253105, 0.02041655689969668, 0.05170932992168075, 0.4218338592105282, 0.1510632633417155)"
1662890225.0,"(0.17852260628942881, 0.1852412958957723, 0.13280442111490545, 0.08593234301680355, 0.07621695507314226, 0.3412823786099475)"
2062048092.0,"(0.39956336006465165, 0.2696077299549203, 0.012592273173911983, 0.07185378256844756, 0.09490577950994035, 0.1514770747281281)"
2064495799.0,"(0.3684684259455443, 0.00724147174173341, 0.08617955370727615, 0.3633742382162468, 0.03908386682268897, 0.13565244356651052)"
2133704865.0,"(0.00201254080407908, 0.00935001914343175, 0.15844046177566984, 0.19262792207927995, 0.6256073681613865, 0.011961688036153042)"
2278533500.0,"(0.20526012846761196, 0.01486821094012771, 0.3548782624167954, 0.010292582450193316, 0.307640013980396, 0.1070608017448756)"
2332813551.0,"(0.10727896096533349, 0.04932385446764496, 0.011552465899241414, 0.4145934991088884, 0.2961832172277497, 0.12106800233114193)"
2347645396.0,"(0.16626239688072644, 0.10214597675308774, 0.15526302745484413, 0.08708527630431004, 0.4034790948632658, 0.08576422774376577)"
2556963098.0,"(0.19186715389250095, 0.02927642760612984, 0.19924714451858563, 0.07664569655263936, 0.3540624396049582, 0.14890113782518605)"
2856245359.0,"(0.432355203403721, 0.007840479531616918, 0.03696741080447816, 0.022421532147477493, 0.3478758316622028, 0.1525395424505036)"
2962090535.0,"(0.18433885573194403, 0.12867463619170375, 0.03504389400543316, 0.20437710727852662, 0.26393008166312026, 0.18363542512927222)"
2989668684.0,"(0.023067732341201238, 0.19080355490798973, 0.0029896541782352118, 0.016875793923289823, 0.3102426719859878, 0.45602059266329603)"
3097525170.0,"(0.051513273288926346, 0.31663992545346675, 0.001927015420736568, 0.21688421433441155, 0.2687762368480817, 0.14425933465437696)"
3147774528.0,"(0.33164099320521667, 0.04780580923184383, 0.0070585837274232495, 0.007416361748627597, 0.181755480898377, 0.42432277118851164)"
3239326523.0,"(0.38389585104346496, 0.07779434058303075, 0.06408225028104107, 0.19406553423134493, 0.20608002156597688, 0.07408200229514143)"
4155368466.0,"(0.08684639781324677, 0.02156612899188414, 0.007296547190334726, 0.001457389484937699, 0.7590482891243165, 0.12378524739527995)"
4376834117.0,"(0.20273344489714623, 0.042947041780676515, 0.04960030248344689, 0.18565122598347303, 0.259981171585297, 0.2590868132699605)"
4414608284.0,"(0.3253304207304317, 0.061266210908605956, 0.011257935020131242, 0.028881773591988947, 0.33127680625301903, 0.24198685349582305)"
4454625480.0,"(0.16101164344772897, 0.06905016606621327, 0.0846050990950648, 0.04428884714690688, 0.31309342797892076, 0.3279508162651651)"
4461188508.0,"(0.06294422861205509, 0.08974953921274303, 0.053729106305069774, 0.04068630687704114, 0.3097427660685113, 0.4431480529245795)"
4520572475.0,"(0.056547430978673416, 0.46977757617633775, 0.0007977237844077709, 0.12782723517027494, 0.14867819239530164, 0.19637184149500453)"
4567984272.0,"(0.10806388826000955, 0.017383482322572415, 0.020577077626480013, 0.05832299097594791, 0.677404668882202, 0.11824789193278813)"
