portrait,topic
tb.1.102205d8.Mwleog6rvyyvl_D925eBaQ,"(0.03395437189616117, 0.33738559129627177, 0.29036839794770186, 0.04256540131459175, 0.03358789131780861, 0.26213834622746485)"
tb.1.104b8f66.8T2-6AHocjpQ8iUcDd872A,"(0.03960601954464095, 0.23256040277688705, 0.37009615453854144, 0.34830507445496217, 0.008282463279989495, 0.0011498854049787417)"
tb.1.10538af1.dWuLO9kjLtMvvWSokvO4oQ,"(0.0312671248511718, 0.9071135981277714, 0.01086471029978189, 0.017588130654523883, 0.008596297831197537, 0.024570138235553488)"
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,"(0.09109071082481539, 0.5568889522966448, 0.004938276816572233, 0.008788393120022652, 0.008253378318210377, 0.33004028862373463)"
tb.1.13c0b8c7.yEl_ZQIzxtM9oYQv3-i9vA,"(0.528925926768008, 4.972926208255905e-08, 1.2172723320587055e-05, 0.00010617053239830176, 0.47095561208278963, 6.816422150406799e-08)"
tb.1.13d7446.450AKlvAxHZA4dpkoinstw,"(0.32922821334349345, 0.15171127707676518, 0.046582962018047305, 0.12264520375479201, 0.2084209517759412, 0.1414113920309608)"
tb.1.1564e0cf.eUwADDZFXQZhyETFzA9TIw,"(2.1933885385137784e-08, 6.945498906192899e-05, 0.1428593955107463, 1.9840539761113665e-08, 0.1428316776417975, 0.7142394300839691)"
tb.1.15907f61.68o_74J8hzgKMzXRZOV7Ug,"(0.4080403111943016, 0.0844444273349395, 0.2166562293041236, 0.21328795265034312, 0.06829290571257869, 0.00927817380371338)"
tb.1.15bc8280.9YSTedfWXOJ2QCPScPqtBA,"(0.41299169814398917, 0.11576905306665622, 0.26711241912626543, 0.16888960825314797, 0.021740785420728877, 0.013496435989212234)"
tb.1.15c1b0fc.i2I27WrCMPqL8u-qIGQWSA,"(0.06907427395732997, 0.1267871640321599, 0.2629695473894036, 0.41821128236117994, 0.12057432130522072, 0.0023834109547059713)"
tb.1.1681522b.qK28vT6vO3EfIcAY1zR5_g,"(0.22348892488886907, 0.24628053218209997, 0.03482866185433539, 0.40603698483172246, 0.060349143441575076, 0.029015752801398047)"
tb.1.16b50ae0.SMmkiUjXz8htLndAhIcJfw,"(0.08115455013502922, 0.08965052646197147, 0.09189565084735872, 0.449019237271343, 0.23224007662108026, 0.05603995866321739)"
