portrait,space_sw
tb.1.102205d8.Mwleog6rvyyvl_D925eBaQ,主播 做主 抑郁 公司 要求 精神病 医院 精神 鉴定 严重 焦虑症 轻微 抑郁 医生 抑郁症 证明 将来 就业 困难 公司 会要 直播 公司 签约 五年 不想 断断续续 开播 说白了 等于 旷工 时间 辞职 不予 批准 必须 不可抗力 情况 辞职 五年 期满 起诉
tb.1.104b8f66.8T2-6AHocjpQ8iUcDd872A,受委屈 那年 老爹 面前 感觉 老爹 生前 特别 心里 伟大 父亲 那天 平时 内心 毫无 波动 冷血 吓坏 那天 经常 自责 兄弟 真是 同是天涯沦落人
tb.1.10538af1.dWuLO9kjLtMvvWSokvO4oQ,每天 上班 不愿 交集 说话 紧张 人一多 哆嗦
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,别人 心里 祝福 佛祖 七种 布施 不用 花钱 果报 眼施 对待 父母 老师 长辈 沙门 婆罗门 经常 慈眉善目 恶眼 怒视 眼施 来世 清净 未来 成佛 天眼 佛眼 果报 和颜悦色 对待 父母 老师 长辈 沙门 婆罗门 板起 对方 脸色 和颜悦色 如沐春风 来世 端正 肤色 未来 成佛 金色 果报 果报 三名 言辞 父母 师长 沙门 婆罗门 柔软 恶言 舍身 言语 可言 信受 未来 成佛 辩才 果报 言辞 对待 父母 老师 长辈 沙门 婆罗门 说话 柔和 粗声 恶语 来世 辩才 所说 别人 愿意 相信 未来 成佛 四种 辩才 果报 四种 辩才 无碍 无碍 无碍 无碍 乐说 无碍 四名 身施 父母 师长 沙门 婆罗门 起迎 礼拜 身施 舍身 得端 政身 长大 人所敬身 未来 成佛 身如尼 拘陀树 无见 顶者 果报 身施 对待 父母 老师 长辈 沙门 婆罗门 迎来送往 恭敬 礼拜 身施 来世 端正 身体 高大 身体 众人 敬仰 未来 成佛 身体 如同 尼拘陀树 人能 见到 头顶 果报 五名 心施 供养 和善 名为 善心 和善 深生 供养 名心施 舍身 得明 痴狂 未来 成佛 种智心 名心施 果报 心施 前面 四种 方式 布施 真诚 皮笑肉不笑 心里 和善 算不上 布施 真诚 善心 发自内心 欢喜 供养 心施 上次 贫女 布施 两块钱 善心 果报 来世 痴狂 未来 成佛 种智 果报 六名 床座施 若见 父母 师长 沙门 婆罗门 床座 自以 使令 舍身 常得 尊贵 七宝 床座 未来 成佛 师子 法座 果报 床座施 对待 父母 老师 长辈 沙门 婆罗门 安排 座位 床铺 座位 对方 来世 常得 尊贵 宝座 未来 成佛 师子 法座 果报 见到 父母 尊长 过来 应当 起身 安排 座位 公交车 见到 需要 人士 应当 主动 让座 七名 房舍 父母 师长 沙门 婆罗门 屋舍 之中 得行 即名 房舍 舍身 自然 宫殿 舍宅 未来 成佛 诸禅 屋宅 果报 名七施 虽不损 财物 获大 果报 房舍 父母 老师 长辈 沙门 婆罗门 安排 妥当 住宿 方便 房舍 来世 自然 宫殿 房屋 未来 成佛 禅定 为宅 果报 七种 布施 不用 花钱 果报 经文 出自 圣贤 撰集 第部 宝藏 八卷 元魏 沙门 吉迦夜 南无本师 释迦牟尼 南无本师 释迦牟尼 南无本师 释迦牟尼
tb.1.13c0b8c7.yEl_ZQIzxtM9oYQv3-i9vA,帕罗西 丁螺 环酮 中药 男孩子 怀疑 假药 圈钱
tb.1.13d7446.450AKlvAxHZA4dpkoinstw,恐惧 摧毁 自信心 痛苦 重度 家里 孩子 这病 折磨 信心 全无 感觉 社会 活不下去 每天 痛苦 受刺激 抑郁 工作 没事 好怕 失去 工作 能力 每天 难受 四十 安乐死 自杀 很痛
tb.1.1564e0cf.eUwADDZFXQZhyETFzA9TIw,互相 聊聊 账号 退出 刚才
tb.1.15907f61.68o_74J8hzgKMzXRZOV7Ug,办法 经历 无法 理解 感受 分开
tb.1.15bc8280.9YSTedfWXOJ2QCPScPqtBA,我快 坚持 老哥 一起 创业 想法 差不多 父母 坚持下去 养儿 养女 防老 气运 世界 没人能 达到 求求 借点 药来 药都 买不起 求求 大哥 大姐 借点 求求 到时候 借点 药来 想到 怕疼 买不到 安眠药 想到 世界末日 情境 正在 规划 取得 安眠药 Thank Can we just be friends 做个 朋友 垂死挣扎 不好意思 我错 抑郁症 加个 微信 一起 商量 一起 翻身 电话 联系 吃苦 难赚 正常 工作 心理 扭曲 一熬 一辈子 想想 办法
tb.1.15c1b0fc.i2I27WrCMPqL8u-qIGQWSA,编制 面试 抑郁 奇迹 般的 考上 编制 为啥 开心 感觉 顶住 压力 硬抗 每天晚上 阿普 挫伦 睡着 熬过来 普通人 觉得 好日子 心里 打击 感觉 一般般 睡不着 开导 开导 感觉 活在 梦里 真实感 夜里 做梦 面试 考过 睡不着
