ID,Funct,Pronoun,PPron,I,We,You,SheHe,They,iPron,Article,Verb,AuxVerb,enPast,enPresent,enFuture,Adverb,Preps,Conj,Negate,Quant,Number,Swear,YouPL,PrepEnd,SpecArt,QuanUnit,Interjunction,MultiFun,TenseM,PastM,PresentM,FutureM,ProgM,Social,Family,Friend,Humans,Affect,PosEmo,NegEmo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhibition,Inclusive,Exclusive,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relative,Motion,Space,Time,Work,Achieve,Leisure,Home,Money,Religion,Death,Assent,Nonfl,Filler,Psychology,Love,tPast,tNow,tFuture,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenth,OtherP,WordCount,WordPerSentence,RateDicCover,RateNumeral,RateSixLtrWord,RateFourCharWord,RateLatinWord,NumAtMention,NumEmotion,NumHashTag,NumURLs
1,0.344894,0.0500963,0.0372511,0.0224791,0.0032113,0.00834939,0.00256904,0.000642261,0.0141297,0,0.113038,0.032113,0,0,0,0.0963391,0.0224791,0.0276172,0,0.0231214,0.00706487,0.000642261,0,0.0109184,0.00706487,0.0154143,0.0815671,0.0635838,0.0404624,0.0032113,0.012203,0.00899165,0.0160565,0.0777136,0.00642261,0.00449583,0.0179833,0.0944123,0.0680796,0.0154143,0.00256904,0,0.00834939,0.1535,0.012203,0.00770713,0.0359666,0.0250482,0.00834939,0.00128452,0.0366089,0.0205523,0.0244059,0.00706487,0.00385356,0.00642261,0.032113,0.00834939,0.0179833,0.00128452,0.00385356,0.0828516,0.0237636,0.0346821,0.0391779,0.0154143,0.0115607,0.00834939,0.00449583,0.000642261,0.00449583,0.0102762,0.0481696,0.00128452,0.00192678,0.0231214,0,0.00128452,0.00256904,0.00256904,0.157354,0.0378934,0,0,0,0,0,0.0783558,0,0.0398202,0,1557,6.32927,0.897238,0.0192678,0.0199101,0.0237636,0.0211946,0,30,0,0
1,0.355861,0.0596621,0.0401267,0.0285111,0.00105597,0.00791975,0.00158395,0.000527983,0.0216473,0,0.110876,0.0279831,0,0,0,0.100845,0.0348469,0.031679,0.000527983,0.0168955,0.0095037,0,0.000527983,0.0142555,0.00897571,0.0227033,0.0702218,0.0601901,0.0475185,0.00422386,0.0105597,0.0126716,0.0200634,0.0659979,0.0031679,0.00263992,0.0131996,0.0850053,0.0475185,0.0211193,0.00422386,0.00369588,0.00686378,0.166315,0.0184794,0.0095037,0.0263992,0.0248152,0.0137276,0.00369588,0.030095,0.0290391,0.0227033,0.00475185,0.00422386,0.00527983,0.0258712,0.00527983,0.0163675,0.00105597,0.00369588,0.0860612,0.0137276,0.0385428,0.0406547,0.0232313,0.0147835,0.0063358,0.00263992,0.00158395,0.00105597,0.00422386,0.0570222,0.0031679,0.00475185,0.0274551,0,0.00263992,0.0031679,0.00422386,0.166315,0.031151,0,0,0,0,0,0.063358,0,0.032735,0,1894,5.99367,0.895459,0.0158395,0.0163675,0.0237592,0.0190074,0,30,0,0
1,0.361692,0.0584601,0.0394487,0.0275665,0.00237643,0.00665399,0.00237643,0,0.0209125,0,0.115494,0.03327,0,0,0,0.0964829,0.0389734,0.0375475,0.000475285,0.0142586,0.0104563,0.000475285,0.000475285,0.0118821,0.0104563,0.0242395,0.0674905,0.0617871,0.0499049,0.00617871,0.0128327,0.0104563,0.0204373,0.0689163,0.003327,0.003327,0.0180608,0.0769962,0.0403992,0.023289,0.00427757,0.00237643,0.0104563,0.180133,0.0247148,0.00855513,0.03327,0.0280418,0.0156844,0.00427757,0.0308935,0.0313688,0.0256654,0.00617871,0.00427757,0.00665399,0.0337452,0.00807985,0.019962,0.000475285,0.00475285,0.0912548,0.0152091,0.0522814,0.0342205,0.0194867,0.013308,0.00570342,0.00475285,0.00142586,0.003327,0.00570342,0.0556084,0.00190114,0.00712928,0.0323194,0.000475285,0.003327,0.00285171,0.00237643,0.161597,0.0280418,0,0,0,0,0,0.0575095,0,0.0294677,0,2104,6.17009,0.893061,0.0142586,0.0142586,0.0190114,0.016635,0,30,0,0
1,0.361652,0.0602753,0.0398671,0.0280019,0.00237304,0.00664452,0.00237304,0,0.0223066,0,0.120551,0.032748,0,0,0,0.0963455,0.0403417,0.0365449,0.000474608,0.0137636,0.0104414,0.000474608,0.000474608,0.0118652,0.0104414,0.0256289,0.0664452,0.0626483,0.0493593,0.00616991,0.0128144,0.0104414,0.0199336,0.0692928,0.00332226,0.00332226,0.0185097,0.078785,0.0403417,0.0227812,0.00379687,0.00237304,0.0104414,0.178927,0.024205,0.00806834,0.0322734,0.0270527,0.0142383,0.00379687,0.032748,0.0322734,0.024205,0.00616991,0.00427148,0.00616991,0.0317988,0.00806834,0.0185097,0.000474608,0.00427148,0.0906502,0.0151875,0.0512577,0.0346464,0.0208828,0.013289,0.00616991,0.00474608,0.00142383,0.00332226,0.0056953,0.0560038,0.00237304,0.00759374,0.0317988,0.000474608,0.00332226,0.00332226,0.00237304,0.158994,0.0280019,0,0,0,0,0,0.0574276,0,0.0294257,0,2107,6.27083,0.891315,0.0142383,0.0142383,0.0194589,0.0166113,0,30,0,0
1,0.35739,0.0647553,0.0420168,0.0331191,0.00197726,0.00444884,0.00148295,0.000494315,0.0247158,0,0.117153,0.0326248,0,0,0,0.0939199,0.0331191,0.0326248,0,0.0153238,0.00939199,0.000494315,0.000494315,0.0113693,0.00889768,0.0222442,0.07217,0.0632724,0.0464656,0.00444884,0.0128522,0.0103806,0.018784,0.0701928,0.00395452,0.00494315,0.0212556,0.0865052,0.0459713,0.0242215,0.00296589,0.00247158,0.00939199,0.162135,0.0168067,0.0064261,0.0321305,0.0257044,0.0108749,0.00494315,0.0286703,0.0311419,0.0212556,0.00444884,0.00346021,0.00346021,0.0321305,0.00593178,0.0202669,0.000494315,0.00543747,0.081562,0.0153238,0.0370737,0.0341078,0.0222442,0.0128522,0.0064261,0.00395452,0.00148295,0.000988631,0.00889768,0.0479486,0.00296589,0.00593178,0.026693,0,0.00247158,0.00247158,0.00247158,0.155215,0.0291646,0,0,0,0,0,0.0603065,0,0.0306476,0,2023,6.42222,0.88433,0.0148295,0.0153238,0.0232328,0.0163124,0,30,0,0
1,0.357955,0.0577652,0.0374053,0.0269886,0.00236742,0.00520833,0.00236742,0,0.0222538,0,0.11553,0.0326705,0,0,0,0.0989583,0.0378788,0.0388258,0,0.0142045,0.00994318,0.000473485,0.000473485,0.0123106,0.0104167,0.0246212,0.0672348,0.063447,0.0501894,0.0061553,0.0137311,0.00994318,0.0203598,0.0667614,0.00331439,0.00331439,0.0184659,0.078125,0.0397727,0.0232008,0.00426136,0.00236742,0.0104167,0.182765,0.0255682,0.00852273,0.0317235,0.0279356,0.0132576,0.00426136,0.0331439,0.0345644,0.0250947,0.0061553,0.00378788,0.00662879,0.0331439,0.00804924,0.0198864,0,0.00473485,0.0866477,0.014678,0.0497159,0.032197,0.0194129,0.0118371,0.00662879,0.00473485,0.00142045,0.00331439,0.00568182,0.0553977,0.00236742,0.00804924,0.032197,0.000473485,0.00331439,0.00331439,0.00189394,0.158617,0.0279356,0,0,0,0,0,0.0572917,0,0.0293561,0,2112,6.28571,0.890152,0.0142045,0.0142045,0.0194129,0.016572,0,30,0,0
1,0.356219,0.0572139,0.0363184,0.0263682,0.00248756,0.00547264,0.000995025,0.000497512,0.0228856,0,0.11393,0.0308458,0,0,0,0.0950249,0.038806,0.0383085,0,0.0159204,0.0104478,0.000497512,0.000497512,0.0119403,0.00945274,0.0253731,0.0671642,0.0636816,0.0502488,0.00646766,0.0119403,0.0104478,0.021393,0.0656716,0.0039801,0.0039801,0.019403,0.0820896,0.0432836,0.0228856,0.0039801,0.00248756,0.00995025,0.173632,0.0199005,0.0079602,0.0303483,0.0258706,0.0114428,0.00348259,0.0348259,0.0333333,0.0218905,0.00547264,0.00298507,0.00547264,0.0308458,0.00746269,0.0174129,0,0.00547264,0.0860697,0.0149254,0.0482587,0.0318408,0.018408,0.0124378,0.00646766,0.00547264,0.00149254,0.00248756,0.00547264,0.0557214,0.00248756,0.00746269,0.0318408,0,0.00348259,0.00248756,0.00199005,0.157214,0.0293532,0,0,0,0,0,0.060199,0,0.0308458,0,2010,6.34069,0.887065,0.0149254,0.0149254,0.0208955,0.0169154,0,30,0,0
1,0.358031,0.0587954,0.039675,0.0272467,0.00239006,0.00717017,0.00239006,0,0.0210325,0,0.115679,0.0320268,0,0,0,0.0936902,0.0387189,0.0372849,0.000478011,0.0138623,0.0109943,0.000478011,0.000478011,0.0109943,0.0100382,0.0239006,0.0669216,0.0621415,0.0458891,0.0043021,0.0124283,0.0100382,0.0191205,0.0712237,0.00334608,0.00334608,0.0176864,0.0783939,0.041109,0.0239006,0.0043021,0.00286807,0.0100382,0.180688,0.0258126,0.00908222,0.0329828,0.0286807,0.0162524,0.0043021,0.0305927,0.0301147,0.0272467,0.00621415,0.00525813,0.00669216,0.0348948,0.0081262,0.0210325,0.000956023,0.0043021,0.0874761,0.0152964,0.0497132,0.0329828,0.0176864,0.0133843,0.00573614,0.00478011,0.00143403,0.00334608,0.00573614,0.0530593,0.00143403,0.00621415,0.0344168,0.000478011,0.00239006,0.00286807,0.00191205,0.161568,0.0282027,0,0,0,0,0,0.0578394,0,0.0296367,0,2092,6.17109,0.893403,0.0143403,0.0143403,0.0195985,0.0167304,0,30,0,0
1,0.354286,0.0557143,0.0366667,0.0228571,0.00238095,0.00809524,0.00238095,0,0.0209524,0,0.116667,0.0333333,0,0,0,0.0919048,0.0380952,0.0347619,0.00047619,0.0147619,0.0114286,0,0.000952381,0.0114286,0.0104762,0.0247619,0.0642857,0.0633333,0.0452381,0.00428571,0.012381,0.0104762,0.0180952,0.0685714,0.00333333,0.00333333,0.0157143,0.077619,0.0404762,0.0228571,0.0047619,0.00238095,0.00952381,0.175714,0.0257143,0.00904762,0.0342857,0.0271429,0.0147619,0.00428571,0.0295238,0.0290476,0.0242857,0.00619048,0.00380952,0.00619048,0.037619,0.00857143,0.0228571,0.000952381,0.0047619,0.087619,0.0152381,0.0509524,0.0319048,0.0190476,0.0152381,0.00619048,0.0047619,0.00238095,0.00333333,0.00571429,0.0552381,0.00142857,0.00666667,0.0333333,0.00047619,0.00190476,0.00285714,0.00190476,0.161905,0.0280952,0,0,0,0,0,0.057619,0,0.0295238,0,2100,6.15836,0.894286,0.0142857,0.0142857,0.0195238,0.0166667,0,30,0,0
1,0.35687,0.0572519,0.0376908,0.0248092,0.0023855,0.00715649,0.0023855,0,0.0214695,0,0.114981,0.0319656,0,0,0,0.0920802,0.038645,0.0362595,0.000477099,0.014313,0.0119275,0,0.000954198,0.0109733,0.0104962,0.0252863,0.0653626,0.0625,0.0453244,0.00429389,0.0124046,0.0104962,0.0181298,0.0677481,0.00333969,0.00333969,0.0147901,0.0772901,0.0400763,0.023855,0.00477099,0.0028626,0.00954198,0.177481,0.0262405,0.00954198,0.0329198,0.0281489,0.0147901,0.00429389,0.0300573,0.028626,0.0257634,0.00620229,0.00477099,0.00620229,0.0353053,0.00811069,0.0214695,0.000954198,0.00429389,0.0887405,0.0152672,0.0510496,0.0329198,0.0181298,0.014313,0.00620229,0.00477099,0.0014313,0.00333969,0.00572519,0.0543893,0.0014313,0.00572519,0.0353053,0.000477099,0.0019084,0.0028626,0.0019084,0.162214,0.0281489,0,0,0,0,0,0.057729,0,0.0295802,0,2096,6.14663,0.894084,0.014313,0.014313,0.0195611,0.0166985,0,30,0,0
